Scientific_Name,en_uk,fr,es,nl,no,ar,da,de,it,ja,ko,pl,pt,pt_br,ru,sv,th,tr,uk,zh
Meleagris gallopavo,Wild Turkey,Dindon sauvage,Guajolote Gallipavo,Kalkoen,kalkun,Wild Turkey,Wild Turkey,Truthuhn,Wild Turkey,シチメンチョウ,Wild Turkey,indyk (zwyczajny),Perú-bravo,Perú-Bravo,Индейка,Kalkon,ไก่งวง,Yabani Hindi,Індик великий,火鸡
Meleagris ocellata,Ocellated Turkey,Dindon ocellé,Guajolote Ocelado,Pauwkalkoen,flekkalkun,Ocellated Turkey,Ocellated Turkey,Pfauentruthuhn,Ocellated Turkey,ヒョウモンシチメンチョウ,Ocellated Turkey,indyk pawi,Ocellated turkey,Ocellated Turkey,Глазчатая индейка,Arguskalkon,Ocellated Turkey,Aynalı Hindi,Індик малий,眼斑火鸡
Meliarchus sclateri,Makira Honeyeater,Méliphage de San Cristobal,Mielero de San Cristóbal,San-Cristobalhoningeter,makirahonningeter,Makira Honeyeater,Makira Honeyeater,Rostschwanz-Honigfresser,Makira Honeyeater,サンクリストバルミツスイ,Makira Honeyeater,miodzik,Makira honeyeater,Makira Honeyeater,Светлоклювый медолюб,Makirahonungsfågel,Makira Honeyeater,Makira Balkuşu,Медолюб сан-кристобальський,圣克里吸蜜鸟
Melidectes belfordi,Belford's Melidectes,Méliphage de Belford,Mielero de Belford,Belfords Honingeter,blåørehonningeter,Belford's Melidectes,Belford's Melidectes,Belfordhonigfresser,Belford's Melidectes,アオガオヤマミツスイ,Belford's Melidectes,dziwook modrolicy,Belford's melidectes,Belford's Melidectes,Синелицый медосос,Belfordhonungsfågel,Belford's Melidectes,Belford Balkuşu,Медвянець синьощокий,博氏寻蜜鸟
Melidectes rufocrissalis,Yellow-browed Melidectes,Méliphage de Reichenow,Mielero Cejiamarillo,Geelbrauwhoningeter,gulbrynhonningeter,Yellow-browed Melidectes,Yellow-browed Melidectes,Reichenowhonigfresser,Yellow-browed Melidectes,ライヘノーヤマミツスイ,Yellow-browed Melidectes,dziwook żółtobrewy,Yellow-browed melidectes,Yellow-Browed Melidectes,Серёжчатый медосос,Gulbrynad honungsfågel,Yellow-browed Melidectes,Sarı Kaşlı Balkuşu,Медвянець жовтобровий,黄眉寻蜜鸟
Melidora macrorrhina,Hook-billed Kingfisher,Martin-chasseur d'Euphrosine,Martín Cazador Ganchudo,Haaksnavelijsvogel,kroknebbisfugl,Hook-billed Kingfisher,Hook-billed Kingfisher,Hakenliest,Hook-billed Kingfisher,カギハシショウビン,Hook-billed Kingfisher,łuskogłów,Hook-billed kingfisher,Hook-Billed Kingfisher,Крючкоклювый зимородок,Kroknäbbskungsfiskare,Hook-billed Kingfisher,Kancalı Yalıçapkını,Альціон-гачкодзьоб,钩嘴翠鸟
Meliphaga lewinii,Lewin's Honeyeater,Méliphage de Lewin,Mielero de Lewin,Geeloorhoningeter,halvmånehonningeter,Lewin's Honeyeater,Lewin's Honeyeater,Goldohr-Honigfresser,Lewin's Honeyeater,キミミミツスイ,Lewin's Honeyeater,miodojad ciemny,Lewin's honeyeater,Lewin's Honeyeater,Золотоухий медосос,Gulörad honungsfågel,Lewin's Honeyeater,Lewin Balkuşu,Медолюб великий,利氏吸蜜鸟
Meliphaga notata,Yellow-spotted Honeyeater,Méliphage marqué,Mielero Marcado,Torreshoningeter,gulflekkhonningeter,Yellow-spotted Honeyeater,Yellow-spotted Honeyeater,Torreshonigfresser,Yellow-spotted Honeyeater,コキミミミツスイ,Yellow-spotted Honeyeater,miodojad żółtoplamy,Yellow-spotted honeyeater,Yellow-Spotted Honeyeater,Малый медосос,Gulfläckig honungsfågel,Yellow-spotted Honeyeater,Küçük Lewin Balkuşu,Медолюб малий,黄斑吸蜜鸟
Melithreptus affinis,Black-headed Honeyeater,Méliphage à tête noire,Mielero Carinegro,Zwartkophoningeter,svarthettehonningeter,Black-headed Honeyeater,Black-headed Honeyeater,Schwarzkopf-Honigfresser,Black-headed Honeyeater,ズグロミツスイ,Black-headed Honeyeater,miodopoik czarnogłowy,Black-headed honeyeater,Black-Headed Honeyeater,Черноголовая медвянка,Svarthuvad honungsfågel,Black-headed Honeyeater,Kara Başlı Balkuşu,Медопійник чорноголовий,黑头抚蜜鸟
Melithreptus albogularis,White-throated Honeyeater,Méliphage à menton blanc,Mielero Goliblanco,Witkinhoningeter,hvitstrupehonningeter,White-throated Honeyeater,White-throated Honeyeater,Weißkehl-Honigfresser,White-throated Honeyeater,ノドジロハチマキミツスイ,White-throated Honeyeater,miodopoik białogardły,White-throated honeyeater,White-Throated Honeyeater,Белогорлая медвянка,Vitstrupig honungsfågel,White-throated Honeyeater,Ak Boğazlı Balkuşu,Медопійник білогорлий,白喉抚蜜鸟
Melithreptus brevirostris,Brown-headed Honeyeater,Méliphage à tête brune,Mielero Cabecipardo,Bruine Diadeemhoningeter,brunhodehonningeter,Brown-headed Honeyeater,Brown-headed Honeyeater,Braunkopf-Honigfresser,Brown-headed Honeyeater,チャガシラハチマキミツスイ,Brown-headed Honeyeater,miodopoik brązowogłowy,Brown-headed honeyeater,Brown-Headed Honeyeater,Буроголовая медвянка,Brunhuvad honungsfågel,Brown-headed Honeyeater,Kahverengi Başlı Balkuşu,Медопійник буроголовий,褐头抚蜜鸟
Melithreptus chloropsis,Gilbert's Honeyeater,Méliphage du Swan,Mielero Nuquiblanco Occidental,Swandiadeemhoningeter,marrihonningeter,Gilbert's Honeyeater,Gilbert's Honeyeater,Weißbrauen-Honigfresser,Gilbert's Honeyeater,ニシハチマキミツスイ,Gilbert's Honeyeater,miodopoik białobrewy,Gilbert's honeyeater,Gilbert's Honeyeater,Белобровая медвянка,Swanhonungsfågel,Gilbert's Honeyeater,Gilbert Balkuşu,Медопійник оливковокрилий,西白颈抚蜜鸟
Melithreptus gularis,Black-chinned Honeyeater,Méliphage à menton noir,Mielero Barbinegro,Zwartkinhoningeter,svarthakehonningeter,Black-chinned Honeyeater,Black-chinned Honeyeater,Schwarzkinn-Honigfresser,Black-chinned Honeyeater,ノドグロハチマキミツスイ,Black-chinned Honeyeater,miodopoik czarnobrody,Black-chinned honeyeater,Black-Chinned Honeyeater,Чернозобая медвянка,Svarthakad honungsfågel,Black-chinned Honeyeater,Kara Gıdılı Balkuşu,Медопійник чорногорлий,黑颏抚蜜鸟
Melithreptus lunatus,White-naped Honeyeater,Méliphage à lunule,Mielero Nuquiblanco,Diadeemhoningeter,hvitnakkehonningeter,White-naped Honeyeater,White-naped Honeyeater,Mondstreif-Honigfresser,White-naped Honeyeater,ハチマキミツスイ,White-naped Honeyeater,miodopoik czerwonobrewy,White-naped honeyeater,White-Naped Honeyeater,Краснобровая медвянка,Vitnackad honungsfågel,White-naped Honeyeater,Hilal Enseli Balkuşu,Медопійник червонобровий,白颈抚蜜鸟
Melithreptus validirostris,Strong-billed Honeyeater,Méliphage à bec fort,Mielero Picudo,Tasmaanse Honingeter,tasmanhonningeter,Strong-billed Honeyeater,Strong-billed Honeyeater,Starkschnabel-Honigfresser,Strong-billed Honeyeater,オリーブハチマキミツスイ,Strong-billed Honeyeater,miodopoik wielkodzioby,Strong-billed honeyeater,Strong-Billed Honeyeater,Толстоклювая медвянка,Barkhonungsfågel,Strong-billed Honeyeater,Tasmanya Balkuşu,Медопійник тасманійський,坚嘴抚蜜鸟
Mellisuga helenae,Bee Hummingbird,Colibri d'Elena,Colibrí Zunzuncito,Bijkolibrie,bikolibri,Bee Hummingbird,Bee Hummingbird,Bienenelfe,Bee Hummingbird,マメハチドリ,Bee Hummingbird,koliberek hawański,Bee hummingbird,Bee Hummingbird,Колибри-пчёлка,Bikolibri,Bee Hummingbird,Küba Arı Kolibrisi,Колібрі-бджола кубинський,吸蜜蜂鸟
Mellisuga minima,Vervain Hummingbird,Colibri nain,Colibrí Zumbadorcito,Dwergkolibrie,dvergkolibri,Vervain Hummingbird,Vervain Hummingbird,Zwergelfe,Vervain Hummingbird,コビトハチドリ,Vervain Hummingbird,koliberek miodowy,Vervain hummingbird,Vervain Hummingbird,Колибри-шмель,Fekolibri,Vervain Hummingbird,Jamaika Arı Kolibrisi,Колібрі-бджола білогорлий,小吸蜜蜂鸟
Melocichla mentalis,Moustached Grass-Warbler,Mélocichle à moustaches,Yerbera Bigotuda,Baardgrasvogel,skjeggsanger,Moustached Grass-Warbler,Moustached Grass-Warbler,Bart-Bülbülgrasmücke,Moustached Grass-Warbler,ヒゲクサムシクイ,Moustached Grass-Warbler,młacznik,Boita-de-bigodes,Boita-De-Bigodes,Усатая саванница,Mustaschsångare,Moustached Grass-Warbler,Bıyıklı Otlak Ötleğeni,Куцохвостик вусатий,须薮莺
Melopsittacus undulatus,Budgerigar,Perruche ondulée,Periquito Común,Grasparkiet,undulat,الدرّة,Budgerigar,Wellensittich,Budgerigar,セキセイインコ,Budgerigar,papużka falista,Periquito-comum,Periquito-Comum,Волнистый попугайчик,Undulat,นกหงส์หยก,Muhabbetkuşu,Папужка хвилястий,虎皮鹦鹉
Melopyrrha portoricensis,Puerto Rican Bullfinch,Pèrenoir de Porto Rico,Semillero Puertorriqueño,Roodkapdikbekje,oksespurv,Puerto Rican Bullfinch,Puerto Rican Bullfinch,Rotkopf-Gimpeltangare,Puerto Rican Bullfinch,オオクロアカウソ,Puerto Rican Bullfinch,giloluszcz rdzawolbisty,Puerto rican bullfinch,Puerto Rican Bullfinch,Пуэрториканский семилеро,Oxtangara,Puerto Rican Bullfinch,Porto Riko Şakrağı,Карпачо рудоголавий,波多黎各牛雀
Melopyrrha violacea,Greater Antillean Bullfinch,Pèrenoir petit-coq,Semillero Prieto,Bahamadikbekje,rødbrynspurv,Greater Antillean Bullfinch,Greater Antillean Bullfinch,Rotbrauen-Gimpeltangare,Greater Antillean Bullfinch,クロアカウソ,Greater Antillean Bullfinch,gilołuszcz rudobrewy,Greater antillean bullfinch,Greater Antillean Bullfinch,Краснобровый семилеро,Rostbrynad tangara,Greater Antillean Bullfinch,Büyük Antil Şakrağı,Карпачо великий,大安德牛雀
Melospiza georgiana,Swamp Sparrow,Bruant des marais,Chingolo Pantanero,Moerasgors,sumpspurv,Swamp Sparrow,Swamp Sparrow,Sumpfammer,Swamp Sparrow,ヌマウタスズメ,Swamp Sparrow,szarobrewka bagienna,Swamp sparrow,Swamp Sparrow,Болотная зонотрихия,Träsksparv,Swamp Sparrow,Bataklık Serçesi,Пасовка болотяна,沼泽带鹀
Melospiza lincolnii,Lincoln's Sparrow,Bruant de Lincoln,Chingolo de Lincoln,Lincolns Gors,gråbrynspurv,Lincoln's Sparrow,Stribet Sangspurv,Lincolnammer,Lincoln's Sparrow,ヒメウタスズメ,Lincoln's Sparrow,szarobrewka płowa,Lincoln's sparrow,Lincoln's Sparrow,Еловая овсянка,Lincolnsparv,Lincoln's Sparrow,Lincoln Serçesi,Пасовка вохриста,林氏带鹀
Melospiza melodia,Song Sparrow,Bruant chanteur,Chingolo Cantor,Zanggors,sangspurv,Song Sparrow,Sangspurv,Singammer,Song Sparrow,ウタスズメ,Song Sparrow,szarobrewka śpiewna,Tico-tico-musical,Tico-Tico-Musical,Певчая овсянка,Sångsparv,Song Sparrow,Ötücü Serçe,Пасовка співоча,歌带鹀
Melozone aberti,Abert's Towhee,Tohi d'Abert,Toquí de Abert,Zwartkintowie,masketovi,Abert's Towhee,Abert's Towhee,Schwarzkinn-Grundammer,Abert's Towhee,メグロトウヒチョウ,Abert's Towhee,ziemnołuszcz czarnolicy,Abert's towhee,Abert's Towhee,Чернолицый тохи,Arizonasnårsparv,Abert's Towhee,Albert Tovisi,Тауї чорногорлий,红腹唧鹀
Melozone albicollis,White-throated Towhee,Tohi à gorge blanche,Toquí Oaxaqueño,Witkeeltowie,hvitstrupetovi,White-throated Towhee,White-throated Towhee,Weißkehl-Grundammer,White-throated Towhee,ノドジロトウヒチョウ,White-throated Towhee,ziemnołuszcz białogardły,White-throated towhee,White-Throated Towhee,Белогорлый тохи,Vitstrupig snårsparv,White-throated Towhee,Beyaz Gerdanlı Tovi,Тауї білогорлий,白喉唧鹀
Melozone biarcuata,White-faced Ground-Sparrow,Tohi à face blanche,Toquí Cuatro Ojos,White-faced Ground-Sparrow,hvitmaskespurv,White-faced Ground-Sparrow,White-faced Ground-Sparrow,Brillengrundammer,White-faced Ground-Sparrow,カオジロシトド,White-faced Ground-Sparrow,ziemnołuszcz białolicy,White-faced ground-sparrow,White-Faced Ground-Sparrow,Белощёкий тохи,Vitmaskad snårsparv,White-faced Ground-Sparrow,Akça Yüzlü Yer Serçesi,Чіапа рудощока,普氏地雀
Melozone cabanisi,Cabanis's Ground-Sparrow,Tohi de Cabanis,Toquí Costarricense,Cabanis's Ground-Sparrow,hvittøylespurv,Cabanis's Ground-Sparrow,Cabanis's Ground-Sparrow,Rotohr-Grundammer,Cabanis's Ground-Sparrow,コスタリカシトド,Cabanis's Ground-Sparrow,ziemnołuszcz kostarykański,Cabanis's ground-sparrow,Cabanis's Ground-Sparrow,Белолицый тохи,Costaricasnårsparv,Cabanis's Ground-Sparrow,Cabanis Yer Serçesi,Чіапа коста-риканська,哥斯达黎加地雀
Melozone crissalis,California Towhee,Tohi de Californie,Toquí Californiano,Californische Towie,kaliforniatovi,California Towhee,California Towhee,Kaliforniengrundammer,California Towhee,カリフォルニアムジトウヒチョウ,California Towhee,ziemnołuszcz kalifornijski,California towhee,California Towhee,Калифорнийский тохи,Kalifornisk snårsparv,California Towhee,Kaliforniya Tovisi,Тауї каліфорнійський,加州唧鹀
Melozone fusca,Canyon Towhee,Tohi des canyons,Toquí Pardo,Bruine Towie,ravinetovi,Canyon Towhee,Canyon Towhee,Braunrücken-Grundammer,Canyon Towhee,ムジトウヒチョウ,Canyon Towhee,ziemnołuszcz brunatny,Canyon towhee,Canyon Towhee,Бурый тохи,Kanjonsnårsparv,Canyon Towhee,Kanyon Tovisi,Тауї каньйоновий,棕喉唧鹀
Melozone kieneri,Rusty-crowned Ground-Sparrow,Tohi de Kiener,Toquí Nuquirrufo,Roestnekgors,brunkinnspurv,Rusty-crowned Ground-Sparrow,Rusty-crowned Ground-Sparrow,Rostnacken-Grundammer,Rusty-crowned Ground-Sparrow,アカガシラシトド,Rusty-crowned Ground-Sparrow,ziemnołuszcz rdzawoszyi,Rusty-crowned ground-sparrow,Rusty-Crowned Ground-Sparrow,Рыжешейный тохи,Rostnackad snårsparv,Rusty-crowned Ground-Sparrow,Kızıl Tepeli Yer Serçesi,Тауї рудошиїй,锈顶地雀
Melozone leucotis,White-eared Ground-Sparrow,Tohi oreillard,Toquí Orejiblanco,Witoorgrondgors,hvitørespurv,White-eared Ground-Sparrow,White-eared Ground-Sparrow,Weißohr-Grundammer,White-eared Ground-Sparrow,ミミジロシトド,White-eared Ground-Sparrow,ziemnołuszcz białouchy,White-eared ground-sparrow,White-Eared Ground-Sparrow,Белоухий тохи,Vitkindad snårsparv,White-eared Ground-Sparrow,Ak Kulaklı Yer Serçesi,Чіапа жовтошия,白耳地雀
Menura alberti,Albert's Lyrebird,Ménure d'Albert,Ave Lira de Alberto,Alberts Liervogel,smålyrehale,Albert's Lyrebird,Albert's Lyrebird,Braunrücken-Leierschwanz,Albert's Lyrebird,アルバートコトドリ,Albert's Lyrebird,lirogon skromny,Albert's lyrebird,Albert's Lyrebird,Альбертов лирохвост,Albertlyrfågel,Albert's Lyrebird,Albert Lirkuşu,Лірохвіст малий,艾氏琴鸟
Menura novaehollandiae,Superb Lyrebird,Ménure superbe,Ave Lira Soberbia,Liervogel,praktlyrehale,Superb Lyrebird,Superb Lyrebird,Graurücken-Leierschwanz,Superb Lyrebird,コトドリ,Superb Lyrebird,lirogon wspaniały,Superb lyrebird,Superb Lyrebird,Великолепный лирохвост,Praktlyrfågel,Superb Lyrebird,Muhteşem Lirkuşu,Лірохвіст австралійський,华丽琴鸟
Mergellus albellus,Smew,Harle piette,Serreta Chica,Nonnetje,lappfiskand,بلقشة بيضاء,Lille Skallesluger,Zwergsäger,Pesciaiola,ミコアイサ,흰비오리,bielaczek,Merganso-pequeno,Merganso-Pequeno,Луток,Salskrake,Smew,Sütlabi,Крех малий,斑头秋沙鸭
Mergus merganser,Goosander,Grand Harle,Serreta Grande,Grote Zaagbek,laksand,بلقشة شائعة,Stor Skallesluger,Gänsesäger,Smergo maggiore,カワアイサ,비오리,nurogęś,Merganso-grande,Merganso-Grande,Большой крохаль,Storskrake,Common Merganser,Büyük Tarakdiş,Крех великий,普通秋沙鸭
Mergus serrator,Red-breasted Merganser,Harle huppé,Serreta Mediana,Middelste Zaagbek,siland,بلقشة حمراء الصدر,Toppet Skallesluger,Mittelsäger,Smergo minore,ウミアイサ,바다비오리,szlachar,Merganso-de-poupa,Merganso-De-Poupa,Длинноносый крохаль,Småskrake,เป็ดปากยาวอกแดง,Tarakdiş,Крех середній,红胸秋沙鸭
Merops albicollis,White-throated Bee-eater,Guêpier à gorge blanche,Abejaruco Gorjiblanco,Witkeelbijeneter,sebrabieter,وروار أبيض الحنجرة,Hvidstrubet Biæder,Weißkehlspint,White-throated Bee-eater,ノドジロハチクイ,White-throated Bee-eater,żołna białogardła,Abelharuco-de-garganta-branca,Abelharuco-De-Garganta-Branca,Белогорлая щурка,Vitstrupig biätare,White-throated Bee-eater,Ak Boğazlı Arıkuşu,Бджолоїдка білогорла,白喉蜂虎
Merops apiaster,European Bee-eater,Guêpier d'Europe,Abejaruco Europeo,Bijeneter,bieter,وروار أوروبي,Biæder,Bienenfresser,Gruccione,ヨーロッパハチクイ,European Bee-eater,żołna,Abelharuco,Abelharuco,Золотистая щурка,Biätare,European Bee-eater,Arıkuşu,Бджолоїдка звичайна,黄喉蜂虎
Merops bullockoides,White-fronted Bee-eater,Guêpier à front blanc,Abejaruco Frentiblanco,Witkapbijeneter,hvitpannebieter,White-fronted Bee-eater,White-fronted Bee-eater,Weißstirnspint,White-fronted Bee-eater,シロビタイハチクイ,White-fronted Bee-eater,żołna białoczelna,White-fronted bee-eater,White-Fronted Bee-Eater,Белолобая щурка,Vitpannad biätare,White-fronted Bee-eater,Ak Alınlı Arıkuşu,Бджолоїдка білолоба,白额蜂虎
Merops bulocki,Red-throated Bee-eater,Guêpier à gorge rouge,Abejaruco Gorjirrojo,Roodkeelbijeneter,rødstrupebieter,Red-throated Bee-eater,Red-throated Bee-eater,Rotkehlspint,Red-throated Bee-eater,アカノドハチクイ,Red-throated Bee-eater,żołna czerwonogardła,Abelharuco-de-garganta-vermelha,Abelharuco-De-Garganta-Vermelha,Красногорлая щурка,Rödstrupig biätare,Red-throated Bee-eater,Al Boğazlı Arıkuşu,Бджолоїдка червоногорла,赤喉蜂虎
Merops hirundineus,Swallow-tailed Bee-eater,Guêpier à queue d'aronde,Abejaruco Golondrina,Zwaluwstaartbijeneter,svalebieter,Swallow-tailed Bee-eater,Swallow-tailed Bee-eater,Schwalbenschwanzspint,Swallow-tailed Bee-eater,エンビハチクイ,Swallow-tailed Bee-eater,żołna widłosterna,Abelharuco-andorinha,Abelharuco-Andorinha,Ласточкохвостая щурка,Svalstjärtad biätare,Swallow-tailed Bee-eater,Kırlangıç Kuyruklu Arıkuşu,Бджолоїдка вилохвоста,燕尾蜂虎
